artist,title,cosine_sim,in_country
Tyga,Taste,0.02240962374565737,0
Sage The Gemini,Good Thing,0.022427538572168178,0
Shakira,Dare,0.02244103059728899,0
Selena Gomez,Hands To Myself,0.02245622833196581,0
Logic,Flexicution,0.02246914562656367,0
Rich The Kid,New Freezer,0.022476214585980644,0
Opetaia Foai,We Know The Way,0.022486615396153525,0
Blac Youngsta,Booty,0.022536856239407783,0
Lil Mosey,Kamikaze,0.022547773871159752,0
Migos,Higher We Go Intro,0.022585681056216764,0
Zedd,I Want You To Know,0.02258770354719683,0
Major Lazer,Run Up,0.02260628010688236,0
Alan Walker,Faded,0.02262495248428658,0
Nate Ruess,Nothing Without Love,0.02264247917852321,0
Pentatonix,"Mary, Did You Know?",0.022669628387420517,0
XXXTENTACION,Everybody Dies In Their Nightmares,0.02267478598820613,0
Maejor Ali,Lolly,0.02268003500935372,0
Dua Lipa and BLACKPINK,Kiss And Make Up,0.022695152062788604,0
XXXTENTACION,BAD!,0.022705364229783698,0
Cheat Codes,No Promises,0.022717983341307528,0
Future,I Won,0.022753331349476706,0
Charli XCX,Boom Clap,0.02278134671144259,0
AJR,Weak,0.022786099499998352,0
Fitz And The Tantrums,The Walker,0.022792896211061314,0
Becky G,Cant Stop Dancin,0.022798845547747495,0
Post Malone,Better Now,0.0228003139103135,0
Michael Jackson,Slave To The Rhythm,0.022810086764026995,0
Migos,Emoji A Chain,0.02282785574033822,0
5 Seconds Of Summer,Girls Talk Boys,0.022834791514952373,0
Lil Yachty,1night,0.022837485869788222,0
The Weeknd,Often,0.022859533393665216,0
Camila Cabello,Crying In The Club,0.02286641430709398,0
iLoveMemphis,Lean and Dabb,0.022879785799770142,0
Jeremih,Dont Tell Em,0.022888208722003554,0
Childish Gambino,Redbone,0.022889999641875065,0
P!nk,Beautiful Trauma,0.022897084539487706,0
Taylor Swift,Delicate,0.0229077776420029,0
Rudimental,Lay It All On Me,0.02292588899449399,0
Migos,BBO bad bitches only,0.022950424504189767,0
Christina Perri,Human,0.022984648066138154,0
Kanye West,Famous,0.022989003167855425,0
Beyonce,Sorry,0.022992147013034942,0
Gucci Mane Bruno Mars and Kodak Black,Wake Up In The Sky,0.02301987057898497,0
August Alsina,I Luv This Shit,0.023023423754573554,0
Lady Gaga,Applause,0.023028146029696932,0
Beyonce,Pray You Catch Me,0.023034810981186885,0
iLoveMemphis,Hit The Quan,0.02305837797781841,0
Nicki Minaj,Regret In Your Tears,0.023063326073924053,0
Ariana Grande,No Tears Left To Cry,0.023067570415138065,0
A Great Big World and Christina Aguilera,Say Something,0.023077287618376116,0
Russ,What They Want,0.02307865397646247,0
Romeo Santos,Odio,0.023080903295406366,0
The Chainsmokers,Everybody Hates Me,0.023124634076015844,0
Kygo and Ellie Goulding,First Time,0.023125505513243917,0
Sara Bareilles,Brave,0.023136147434180982,0
Meghan Trainor,Me Too,0.02314644552491747,0
XXXTENTACION,Save Me,0.02318747069085942,0
The Weeknd,Six Feet Under,0.02320694052195229,0
Jason Derulo,Trumpets,0.023223475883599725,0
KIDS SEE GHOSTS,Cudi Montage,0.023258478722616507,0
The Carters,Friends,0.023288385176890046,0
Beyonce,7/11,0.023306320378931572,0
Justin Bieber,Get Used To It,0.023311277563043062,0
Lady Gaga,Perfect Illusion,0.02331557030698022,0
Starley,Call On Me,0.023354102253868157,0
Post Malone,Deja Vu,0.023356651634443983,0
Ariana Grande,"Thank U, Next",0.02336628467697134,0
Kesha,Woman,0.023387475688549365,0
Disclosure,Latch,0.02343960028514227,0
Tyga,Hookah,0.023439761512205726,0
PSY,Hangover,0.02344186346794225,0
Post Malone,White Iverson,0.02344836054746182,0
Beyonce,Hold Up,0.023461903205276028,0
